,SKU,class,interval
0,10947,2,50_DWT
1,11191,2,50_DWT
2,11659,3,50_DWT
3,11680,0,50_DWT
4,11801,2,50_DWT
5,12631,2,50_DWT
6,13155,2,50_DWT
7,13979,0,50_DWT
8,14138,0,50_DWT
9,14987,2,50_DWT
10,15993,2,50_DWT
11,16064,0,50_DWT
12,16243,0,50_DWT
13,16363,0,50_DWT
14,16826,2,50_DWT
15,18226,0,50_DWT
16,18377,2,50_DWT
17,18457,2,50_DWT
18,18808,2,50_DWT
19,19757,2,50_DWT
20,21070,0,50_DWT
21,21354,0,50_DWT
22,21940,0,50_DWT
23,22993,2,50_DWT
24,23188,2,50_DWT
25,23502,2,50_DWT
26,23515,1,50_DWT
27,23543,2,50_DWT
28,23740,5,50_DWT
29,24152,0,50_DWT
30,25353,2,50_DWT
31,25538,0,50_DWT
32,26159,5,50_DWT
33,26331,2,50_DWT
34,26677,2,50_DWT
35,27450,2,50_DWT
36,28089,2,50_DWT
37,28145,2,50_DWT
38,28621,2,50_DWT
39,28675,2,50_DWT
40,28770,0,50_DWT
41,29297,0,50_DWT
42,29438,2,50_DWT
43,29961,0,50_DWT
44,30620,2,50_DWT
45,32510,0,50_DWT
46,33277,2,50_DWT
47,34466,0,50_DWT
48,34878,5,50_DWT
49,35311,5,50_DWT
50,35522,0,50_DWT
51,36167,2,50_DWT
52,37239,2,50_DWT
53,37357,2,50_DWT
54,37478,2,50_DWT
55,38728,3,50_DWT
56,38950,0,50_DWT
57,38958,0,50_DWT
58,39148,0,50_DWT
59,40020,0,50_DWT
60,40038,0,50_DWT
61,41871,0,50_DWT
62,42321,2,50_DWT
63,42436,2,50_DWT
64,42439,0,50_DWT
65,42934,0,50_DWT
66,43848,2,50_DWT
67,44311,0,50_DWT
68,44587,2,50_DWT
69,44694,0,50_DWT
70,45111,0,50_DWT
71,45193,0,50_DWT
72,45681,2,50_DWT
73,45737,3,50_DWT
74,47028,2,50_DWT
75,47729,0,50_DWT
76,47952,2,50_DWT
77,48668,2,50_DWT
78,51319,5,50_DWT
79,51847,2,50_DWT
80,52080,0,50_DWT
81,52128,0,50_DWT
82,52317,0,50_DWT
83,55133,0,50_DWT
84,55748,0,50_DWT
85,57340,0,50_DWT
86,57447,2,50_DWT
87,57688,0,50_DWT
88,57975,0,50_DWT
89,58084,3,50_DWT
90,58555,3,50_DWT
91,59377,2,50_DWT
92,60934,2,50_DWT
93,61041,0,50_DWT
94,61065,0,50_DWT
95,61075,4,50_DWT
96,61918,2,50_DWT
97,62163,0,50_DWT
98,62886,2,50_DWT
99,63068,2,50_DWT
100,63638,2,50_DWT
101,65244,2,50_DWT
102,66419,0,50_DWT
103,66602,2,50_DWT
104,66973,2,50_DWT
105,67102,3,50_DWT
106,67449,2,50_DWT
107,68098,2,50_DWT
108,68587,2,50_DWT
109,68758,1,50_DWT
110,68879,0,50_DWT
111,69577,0,50_DWT
112,69650,2,50_DWT
113,69671,2,50_DWT
114,70022,5,50_DWT
115,71298,0,50_DWT
116,71570,2,50_DWT
117,71927,0,50_DWT
118,72021,2,50_DWT
119,72410,0,50_DWT
120,73047,2,50_DWT
121,73140,0,50_DWT
122,73355,2,50_DWT
123,73677,2,50_DWT
124,73755,2,50_DWT
125,75100,0,50_DWT
126,75343,0,50_DWT
127,75531,0,50_DWT
128,75661,2,50_DWT
129,76032,4,50_DWT
130,76539,0,50_DWT
131,76811,0,50_DWT
132,76818,3,50_DWT
133,76833,5,50_DWT
134,77573,2,50_DWT
135,77688,0,50_DWT
136,77860,0,50_DWT
137,78916,0,50_DWT
138,79217,2,50_DWT
139,80589,5,50_DWT
140,80765,2,50_DWT
141,81822,1,50_DWT
142,81897,0,50_DWT
143,82663,0,50_DWT
144,82804,0,50_DWT
145,83297,0,50_DWT
146,83340,0,50_DWT
147,83933,2,50_DWT
148,84299,2,50_DWT
149,85442,0,50_DWT
150,85450,3,50_DWT
151,85855,0,50_DWT
152,86081,0,50_DWT
153,86167,0,50_DWT
154,86211,0,50_DWT
155,86515,0,50_DWT
156,86580,2,50_DWT
157,86653,2,50_DWT
158,87218,0,50_DWT
159,87756,0,50_DWT
160,87975,2,50_DWT
161,88094,2,50_DWT
162,88144,0,50_DWT
163,88782,2,50_DWT
164,89008,2,50_DWT
165,89437,0,50_DWT
166,90376,0,50_DWT
167,91648,0,50_DWT
168,92700,2,50_DWT
169,92936,2,50_DWT
170,93049,2,50_DWT
171,93101,2,50_DWT
172,93389,0,50_DWT
173,93624,0,50_DWT
174,96910,0,50_DWT
175,98503,0,50_DWT
176,99965,2,50_DWT
