,SKU,class,interval
0,10121,0,50
1,11680,-1,50
2,13859,0,50
3,13973,0,50
4,13979,-1,50
5,14554,0,50
6,14987,-1,50
7,16243,-1,50
8,18808,-1,50
9,19757,-1,50
10,19763,0,50
11,24595,0,50
12,26159,-1,50
13,26629,0,50
14,27469,0,50
15,28145,-1,50
16,28621,-1,50
17,28960,0,50
18,29760,0,50
19,31405,0,50
20,32954,0,50
21,33612,0,50
22,33880,0,50
23,34952,0,50
24,35311,-1,50
25,35522,-1,50
26,35995,0,50
27,37141,0,50
28,37239,-1,50
29,37357,-1,50
30,37478,-1,50
31,38950,-1,50
32,38958,-1,50
33,40020,-1,50
34,42338,0,50
35,42934,-1,50
36,43848,-1,50
37,44311,-1,50
38,44587,-1,50
39,45111,-1,50
40,45737,-1,50
41,48239,0,50
42,48336,0,50
43,48446,0,50
44,49012,0,50
45,51319,-1,50
46,52015,0,50
47,52128,-1,50
48,52240,0,50
49,54799,0,50
50,56144,0,50
51,56505,0,50
52,57975,-1,50
53,59377,-1,50
54,59442,0,50
55,60934,-1,50
56,61041,-1,50
57,61075,-1,50
58,62163,-1,50
59,62886,-1,50
60,63068,-1,50
61,63638,-1,50
62,65244,-1,50
63,66419,-1,50
64,66916,0,50
65,68879,-1,50
66,71927,-1,50
67,72783,0,50
68,73140,-1,50
69,74923,0,50
70,75661,-1,50
71,75982,0,50
72,76032,-1,50
73,77688,-1,50
74,78354,0,50
75,78916,-1,50
76,79148,0,50
77,79217,-1,50
78,79558,0,50
79,80542,0,50
80,81897,-1,50
81,82253,0,50
82,82488,0,50
83,83297,-1,50
84,83933,-1,50
85,84299,-1,50
86,85442,-1,50
87,85450,-1,50
88,85855,-1,50
89,86081,-1,50
90,86193,0,50
91,86211,-1,50
92,86515,-1,50
93,86653,-1,50
94,87936,0,50
95,87975,-1,50
96,91648,-1,50
97,93049,-1,50
98,95369,0,50
99,96910,-1,50
100,99965,-1,50
