,SKU,class,interval
0,10060,0,200
1,10230,-1,200
2,10388,0,200
3,10583,0,200
4,11700,0,200
5,12319,0,200
6,12997,0,200
7,13110,-1,200
8,13197,0,200
9,15057,-1,200
10,15499,-1,200
11,15845,0,200
12,15955,0,200
13,16147,0,200
14,16663,0,200
15,18969,-1,200
16,19004,-1,200
17,19516,0,200
18,19707,-1,200
19,19734,-1,200
20,19737,-1,200
21,20533,-1,200
22,21231,0,200
23,21277,-1,200
24,21950,-1,200
25,22049,-1,200
26,22272,0,200
27,24078,-1,200
28,25418,3,200
29,26396,-1,200
30,26541,1,200
31,26890,-1,200
32,26936,-1,200
33,27447,-1,200
34,27600,0,200
35,27657,0,200
36,27720,0,200
37,28188,-1,200
38,28756,3,200
39,29698,-1,200
40,30482,0,200
41,30616,2,200
42,30738,-1,200
43,31343,2,200
44,31829,0,200
45,31840,0,200
46,32853,-1,200
47,33086,-1,200
48,33110,0,200
49,33491,-1,200
50,33873,0,200
51,33950,-1,200
52,34614,0,200
53,35210,-1,200
54,35617,-1,200
55,36984,3,200
56,37310,-1,200
57,37909,-1,200
58,38152,-1,200
59,38186,0,200
60,38457,0,200
61,38683,-1,200
62,38700,-1,200
63,39631,0,200
64,39811,0,200
65,40251,0,200
66,40429,1,200
67,40685,0,200
68,41007,0,200
69,41660,2,200
70,41819,0,200
71,41955,0,200
72,43138,0,200
73,43139,0,200
74,43204,3,200
75,43341,-1,200
76,43717,-1,200
77,44465,-1,200
78,44466,0,200
79,44564,0,200
80,45206,-1,200
81,46046,0,200
82,46366,-1,200
83,47308,0,200
84,47613,-1,200
85,47855,0,200
86,49363,0,200
87,50191,-1,200
88,50388,0,200
89,50673,-1,200
90,51091,0,200
91,51114,-1,200
92,51854,0,200
93,52476,0,200
94,53278,1,200
95,53976,-1,200
96,54011,0,200
97,54228,0,200
98,54569,-1,200
99,56223,0,200
100,56252,0,200
101,56329,0,200
102,56612,3,200
103,56678,0,200
104,58405,0,200
105,58411,2,200
106,59277,-1,200
107,60636,0,200
108,62214,0,200
109,63462,0,200
110,63719,-1,200
111,64404,3,200
112,64521,0,200
113,64746,-1,200
114,65324,0,200
115,65894,0,200
116,65937,2,200
117,66067,-1,200
118,67402,0,200
119,68011,-1,200
120,68588,0,200
121,68592,0,200
122,69054,2,200
123,69210,-1,200
124,69649,3,200
125,69694,0,200
126,69793,0,200
127,69851,-1,200
128,69977,0,200
129,69993,0,200
130,70140,-1,200
131,70687,-1,200
132,70821,0,200
133,70825,0,200
134,70972,0,200
135,71488,0,200
136,71683,1,200
137,73213,0,200
138,73673,0,200
139,73779,-1,200
140,73942,-1,200
141,74182,0,200
142,76011,0,200
143,76127,-1,200
144,76248,0,200
145,76401,0,200
146,78073,-1,200
147,78355,0,200
148,78433,0,200
149,78547,0,200
150,78705,1,200
151,78975,0,200
152,79907,0,200
153,80167,-1,200
154,81255,-1,200
155,81314,0,200
156,82175,-1,200
157,82307,-1,200
158,82731,-1,200
159,84205,-1,200
160,84441,0,200
161,84677,0,200
162,84724,-1,200
163,85124,0,200
164,85249,0,200
165,86064,-1,200
166,86116,-1,200
167,86270,-1,200
168,86357,-1,200
169,86662,0,200
170,87112,-1,200
171,87520,0,200
172,87831,-1,200
173,88113,-1,200
174,88248,-1,200
175,88664,-1,200
176,88818,0,200
177,89727,-1,200
178,91933,0,200
179,92084,0,200
180,92530,-1,200
181,93005,-1,200
182,94200,0,200
183,94535,0,200
184,94676,0,200
185,94895,-1,200
186,95888,-1,200
187,95920,3,200
188,97156,-1,200
189,97659,-1,200
190,97793,0,200
191,97863,0,200
192,98103,-1,200
193,98303,-1,200
194,98774,0,200
