,SKU,class,interval
0,11659,-1,10
1,12086,0,10
2,12600,0,10
3,13331,0,10
4,17937,0,10
5,18763,0,10
6,23515,-1,10
7,25605,0,10
8,39218,0,10
9,39483,0,10
10,40369,0,10
11,44124,0,10
12,44301,0,10
13,44746,0,10
14,45837,0,10
15,47619,0,10
16,49957,0,10
17,50551,0,10
18,56200,0,10
19,58540,0,10
20,58555,-1,10
21,59615,0,10
22,61238,0,10
23,64103,0,10
24,70167,0,10
25,73037,0,10
26,73306,0,10
27,76607,0,10
28,76833,-1,10
29,80589,-1,10
30,81864,0,10
31,83361,0,10
32,84024,0,10
33,87488,0,10
34,88404,0,10
35,91082,0,10
36,91683,0,10
37,91715,0,10
38,92542,0,10
39,95125,0,10
40,99974,0,10
