,SKU,class,interval
0,10290,0,300
1,11189,0,300
2,11599,0,300
3,11826,0,300
4,11848,0,300
5,12938,-1,300
6,12966,0,300
7,12995,0,300
8,13316,0,300
9,13338,-1,300
10,14632,0,300
11,15185,0,300
12,15732,0,300
13,15905,0,300
14,16019,0,300
15,16143,0,300
16,16542,0,300
17,16915,0,300
18,17158,0,300
19,17776,0,300
20,17831,0,300
21,18384,0,300
22,19480,0,300
23,19990,-1,300
24,20301,0,300
25,21233,0,300
26,22787,0,300
27,23998,-1,300
28,24525,0,300
29,26018,0,300
30,26198,0,300
31,26244,0,300
32,26453,0,300
33,26616,0,300
34,26808,0,300
35,27070,0,300
36,27071,0,300
37,27364,0,300
38,28673,0,300
39,29122,0,300
40,29156,0,300
41,29615,0,300
42,30660,0,300
43,31002,0,300
44,31078,0,300
45,31344,0,300
46,31656,0,300
47,31911,0,300
48,33617,-1,300
49,36487,-1,300
50,38141,0,300
51,38579,-1,300
52,39031,0,300
53,39474,0,300
54,40130,0,300
55,41069,0,300
56,41162,0,300
57,42391,-1,300
58,42524,0,300
59,42844,-1,300
60,43072,0,300
61,43273,0,300
62,43619,0,300
63,44011,0,300
64,44626,0,300
65,44959,0,300
66,45749,0,300
67,46181,0,300
68,46640,0,300
69,46937,0,300
70,47059,-1,300
71,49688,0,300
72,50902,-1,300
73,51979,0,300
74,52111,0,300
75,53211,0,300
76,53438,0,300
77,53677,0,300
78,54815,0,300
79,55025,0,300
80,55376,0,300
81,55400,0,300
82,57086,-1,300
83,57124,-1,300
84,57569,-1,300
85,57638,0,300
86,57706,0,300
87,57874,0,300
88,58984,0,300
89,59010,0,300
90,59440,-1,300
91,59900,0,300
92,60289,0,300
93,60411,0,300
94,61028,0,300
95,62050,0,300
96,62526,0,300
97,63165,0,300
98,63273,0,300
99,64504,0,300
100,65318,0,300
101,67103,0,300
102,67286,0,300
103,67667,0,300
104,67873,0,300
105,68146,0,300
106,68208,0,300
107,69565,-1,300
108,69661,0,300
109,69978,-1,300
110,70779,0,300
111,71650,0,300
112,72432,0,300
113,72726,0,300
114,73444,0,300
115,74286,0,300
116,74430,-1,300
117,74743,0,300
118,74865,0,300
119,75280,-1,300
120,76187,-1,300
121,76202,0,300
122,78072,0,300
123,78621,0,300
124,78927,0,300
125,79052,0,300
126,80744,0,300
127,81502,0,300
128,82401,0,300
129,82836,0,300
130,85374,0,300
131,85473,0,300
132,86853,0,300
133,87102,-1,300
134,87264,-1,300
135,87823,0,300
136,88149,0,300
137,89177,-1,300
138,89503,0,300
139,89833,0,300
140,90247,0,300
141,90440,0,300
142,91743,0,300
143,93354,0,300
144,93494,0,300
145,93657,0,300
146,94018,0,300
147,96534,0,300
148,97358,0,300
149,97493,0,300
150,97537,0,300
151,98346,0,300
152,99905,0,300
153,99996,0,300
