,SKU,class,interval
0,10837,0,400
1,10887,1,400
2,10973,-1,400
3,11179,-1,400
4,11318,-1,400
5,11379,1,400
6,11582,-1,400
7,11666,0,400
8,11799,-1,400
9,11838,-1,400
10,11952,-1,400
11,12007,2,400
12,13453,1,400
13,14062,-1,400
14,14640,-1,400
15,14749,0,400
16,14860,1,400
17,15035,1,400
18,15143,0,400
19,15212,-1,400
20,15232,-1,400
21,15425,-1,400
22,15475,-1,400
23,15577,5,400
24,15646,2,400
25,15713,0,400
26,15806,-1,400
27,15834,1,400
28,15850,-1,400
29,15896,-1,400
30,16390,-1,400
31,16496,-1,400
32,16588,-1,400
33,16700,1,400
34,16805,-1,400
35,17309,-1,400
36,17344,3,400
37,17406,1,400
38,17657,0,400
39,18139,0,400
40,18314,-1,400
41,18893,-1,400
42,18966,0,400
43,19050,1,400
44,19143,-1,400
45,19414,1,400
46,19703,-1,400
47,19975,2,400
48,20427,-1,400
49,20680,-1,400
50,21041,-1,400
51,21147,3,400
52,21389,-1,400
53,21516,-1,400
54,21593,-1,400
55,21691,-1,400
56,21742,2,400
57,21781,1,400
58,21873,4,400
59,21874,-1,400
60,22579,-1,400
61,23149,-1,400
62,23226,1,400
63,23324,4,400
64,23497,-1,400
65,23806,-1,400
66,24344,-1,400
67,24456,-1,400
68,24556,0,400
69,24626,-1,400
70,24800,1,400
71,24848,4,400
72,25021,-1,400
73,25121,-1,400
74,25684,4,400
75,25901,4,400
76,26076,1,400
77,26756,-1,400
78,26819,-1,400
79,27029,-1,400
80,27051,-1,400
81,27417,-1,400
82,27513,2,400
83,28126,-1,400
84,28141,-1,400
85,28423,-1,400
86,28687,-1,400
87,28967,-1,400
88,29011,2,400
89,29174,-1,400
90,29179,-1,400
91,29869,-1,400
92,29946,-1,400
93,30775,3,400
94,31103,-1,400
95,31196,2,400
96,31327,-1,400
97,31364,2,400
98,32288,-1,400
99,32567,-1,400
100,32593,-1,400
101,32644,2,400
102,32675,-1,400
103,32801,0,400
104,33139,-1,400
105,33562,-1,400
106,33568,-1,400
107,33677,-1,400
108,34656,-1,400
109,35009,-1,400
110,35549,2,400
111,35645,-1,400
112,35665,-1,400
113,35968,0,400
114,36115,-1,400
115,36123,2,400
116,36190,-1,400
117,36717,1,400
118,37421,-1,400
119,37657,-1,400
120,38064,-1,400
121,38156,-1,400
122,38664,-1,400
123,40396,-1,400
124,40747,-1,400
125,40890,-1,400
126,40930,1,400
127,40945,4,400
128,41262,1,400
129,41277,-1,400
130,41632,1,400
131,42128,1,400
132,42231,1,400
133,42859,2,400
134,42888,-1,400
135,43023,-1,400
136,43034,-1,400
137,43198,-1,400
138,43237,1,400
139,43395,4,400
140,43454,-1,400
141,43589,-1,400
142,43692,-1,400
143,43996,5,400
144,44429,-1,400
145,44737,-1,400
146,44811,-1,400
147,45125,0,400
148,45404,-1,400
149,46168,1,400
150,46354,-1,400
151,46787,-1,400
152,46795,1,400
153,46983,4,400
154,47291,4,400
155,47355,-1,400
156,48175,-1,400
157,48723,0,400
158,48759,-1,400
159,49054,5,400
160,49092,0,400
161,49099,1,400
162,49321,-1,400
163,49495,1,400
164,49562,3,400
165,49635,1,400
166,49801,-1,400
167,50101,-1,400
168,50389,4,400
169,50984,2,400
170,51005,-1,400
171,51053,-1,400
172,51103,1,400
173,52000,2,400
174,52736,-1,400
175,52820,-1,400
176,52850,-1,400
177,53038,-1,400
178,53146,-1,400
179,53233,-1,400
180,53332,-1,400
181,53815,-1,400
182,53886,0,400
183,54633,1,400
184,54889,-1,400
185,54918,-1,400
186,55566,1,400
187,55685,1,400
188,56722,1,400
189,56727,3,400
190,57561,-1,400
191,57980,-1,400
192,58127,-1,400
193,58998,1,400
194,59472,0,400
195,59877,0,400
196,59890,4,400
197,60092,-1,400
198,60280,1,400
199,60416,-1,400
200,61567,1,400
201,61628,2,400
202,62196,-1,400
203,62532,-1,400
204,62993,-1,400
205,63134,-1,400
206,63493,1,400
207,63603,1,400
208,63624,0,400
209,63648,5,400
210,64093,1,400
211,64207,-1,400
212,64252,1,400
213,64433,-1,400
214,64998,-1,400
215,65119,1,400
216,66455,2,400
217,66646,1,400
218,66695,-1,400
219,67009,-1,400
220,67113,4,400
221,67330,3,400
222,67369,-1,400
223,67728,2,400
224,67877,2,400
225,67941,2,400
226,68092,-1,400
227,68122,-1,400
228,68176,-1,400
229,68193,4,400
230,68294,-1,400
231,68421,-1,400
232,68475,-1,400
233,68476,-1,400
234,68494,-1,400
235,68620,-1,400
236,68748,-1,400
237,68972,-1,400
238,69057,-1,400
239,69263,0,400
240,69580,-1,400
241,69814,2,400
242,70036,4,400
243,70252,-1,400
244,70340,-1,400
245,70358,1,400
246,70400,-1,400
247,70501,-1,400
248,71860,0,400
249,72165,0,400
250,72181,-1,400
251,72920,1,400
252,73035,1,400
253,73146,3,400
254,73555,-1,400
255,74010,-1,400
256,74428,1,400
257,74526,1,400
258,74550,2,400
259,74578,-1,400
260,74805,1,400
261,74914,1,400
262,75356,1,400
263,75434,-1,400
264,76092,-1,400
265,76272,0,400
266,76988,0,400
267,77068,-1,400
268,77374,1,400
269,77540,4,400
270,77593,-1,400
271,78070,1,400
272,78442,-1,400
273,78624,1,400
274,78953,-1,400
275,79425,1,400
276,80459,2,400
277,81439,-1,400
278,81681,1,400
279,81807,-1,400
280,81944,-1,400
281,81955,-1,400
282,82522,-1,400
283,82649,1,400
284,82748,-1,400
285,82947,-1,400
286,83255,-1,400
287,83587,-1,400
288,83908,-1,400
289,84011,4,400
290,84184,1,400
291,84709,1,400
292,84910,-1,400
293,85231,-1,400
294,85535,1,400
295,85695,-1,400
296,85915,1,400
297,85938,-1,400
298,86171,-1,400
299,86491,-1,400
300,86518,-1,400
301,86541,-1,400
302,86769,-1,400
303,87128,-1,400
304,87418,-1,400
305,87423,0,400
306,87669,-1,400
307,88333,1,400
308,88548,-1,400
309,88673,5,400
310,89052,0,400
311,89320,-1,400
312,89648,-1,400
313,90497,1,400
314,91029,-1,400
315,91107,-1,400
316,91469,-1,400
317,92112,1,400
318,92562,0,400
319,92847,-1,400
320,92982,3,400
321,93384,1,400
322,93414,-1,400
323,93487,-1,400
324,93798,-1,400
325,93822,-1,400
326,94354,0,400
327,95337,2,400
328,95557,-1,400
329,95683,2,400
330,95769,-1,400
331,96034,-1,400
332,96588,-1,400
333,97055,-1,400
334,97082,-1,400
335,97419,-1,400
336,97876,-1,400
337,97892,-1,400
338,98269,-1,400
339,98642,4,400
340,98842,-1,400
341,99266,-1,400
342,99310,-1,400
