,SKU,class,interval
0,10973,1,400_DWT
1,11179,3,400_DWT
2,11318,2,400_DWT
3,11582,1,400_DWT
4,11799,1,400_DWT
5,11838,2,400_DWT
6,11952,0,400_DWT
7,14062,2,400_DWT
8,14640,0,400_DWT
9,15212,2,400_DWT
10,15232,2,400_DWT
11,15425,1,400_DWT
12,15475,1,400_DWT
13,15806,3,400_DWT
14,15850,0,400_DWT
15,15896,3,400_DWT
16,16390,2,400_DWT
17,16496,1,400_DWT
18,16588,2,400_DWT
19,16805,0,400_DWT
20,17309,0,400_DWT
21,18314,2,400_DWT
22,18893,2,400_DWT
23,19143,2,400_DWT
24,19703,2,400_DWT
25,20427,0,400_DWT
26,20680,0,400_DWT
27,21041,2,400_DWT
28,21389,2,400_DWT
29,21516,1,400_DWT
30,21593,0,400_DWT
31,21691,2,400_DWT
32,21874,0,400_DWT
33,22579,2,400_DWT
34,23149,2,400_DWT
35,23497,2,400_DWT
36,23806,0,400_DWT
37,24344,2,400_DWT
38,24456,2,400_DWT
39,24626,1,400_DWT
40,25021,0,400_DWT
41,25121,1,400_DWT
42,26756,2,400_DWT
43,26819,0,400_DWT
44,27029,1,400_DWT
45,27051,0,400_DWT
46,27417,2,400_DWT
47,28126,1,400_DWT
48,28141,2,400_DWT
49,28423,0,400_DWT
50,28687,0,400_DWT
51,28967,0,400_DWT
52,29174,0,400_DWT
53,29179,1,400_DWT
54,29869,2,400_DWT
55,29946,0,400_DWT
56,31103,0,400_DWT
57,31327,1,400_DWT
58,32288,0,400_DWT
59,32567,0,400_DWT
60,32593,0,400_DWT
61,32675,1,400_DWT
62,33139,2,400_DWT
63,33562,0,400_DWT
64,33568,0,400_DWT
65,33677,1,400_DWT
66,34656,2,400_DWT
67,35009,2,400_DWT
68,35645,1,400_DWT
69,35665,0,400_DWT
70,36115,0,400_DWT
71,36190,1,400_DWT
72,37421,2,400_DWT
73,37657,1,400_DWT
74,38064,3,400_DWT
75,38156,0,400_DWT
76,38664,2,400_DWT
77,40396,0,400_DWT
78,40747,2,400_DWT
79,40890,1,400_DWT
80,41277,2,400_DWT
81,42888,2,400_DWT
82,43023,0,400_DWT
83,43034,0,400_DWT
84,43198,1,400_DWT
85,43454,0,400_DWT
86,43589,3,400_DWT
87,43692,2,400_DWT
88,44429,3,400_DWT
89,44737,3,400_DWT
90,44811,2,400_DWT
91,45404,1,400_DWT
92,46354,2,400_DWT
93,46787,0,400_DWT
94,47355,1,400_DWT
95,48175,0,400_DWT
96,48759,0,400_DWT
97,49321,1,400_DWT
98,49801,3,400_DWT
99,50101,0,400_DWT
100,51005,2,400_DWT
101,51053,0,400_DWT
102,52736,0,400_DWT
103,52820,1,400_DWT
104,52850,0,400_DWT
105,53038,1,400_DWT
106,53146,1,400_DWT
107,53233,1,400_DWT
108,53332,2,400_DWT
109,53815,0,400_DWT
110,54889,0,400_DWT
111,54918,1,400_DWT
112,57561,2,400_DWT
113,57980,1,400_DWT
114,58127,0,400_DWT
115,60092,0,400_DWT
116,60416,0,400_DWT
117,62196,1,400_DWT
118,62532,1,400_DWT
119,62993,1,400_DWT
120,63134,0,400_DWT
121,64207,3,400_DWT
122,64433,2,400_DWT
123,64998,1,400_DWT
124,66695,2,400_DWT
125,67009,0,400_DWT
126,67369,2,400_DWT
127,68092,2,400_DWT
128,68122,1,400_DWT
129,68176,1,400_DWT
130,68294,0,400_DWT
131,68421,2,400_DWT
132,68475,1,400_DWT
133,68476,0,400_DWT
134,68494,3,400_DWT
135,68620,0,400_DWT
136,68748,0,400_DWT
137,68972,3,400_DWT
138,69057,2,400_DWT
139,69580,2,400_DWT
140,70252,1,400_DWT
141,70340,0,400_DWT
142,70400,2,400_DWT
143,70501,2,400_DWT
144,72181,0,400_DWT
145,73555,0,400_DWT
146,74010,2,400_DWT
147,74578,1,400_DWT
148,75434,2,400_DWT
149,76092,2,400_DWT
150,77068,2,400_DWT
151,77593,1,400_DWT
152,78442,0,400_DWT
153,78953,1,400_DWT
154,81439,1,400_DWT
155,81807,1,400_DWT
156,81944,3,400_DWT
157,81955,1,400_DWT
158,82522,2,400_DWT
159,82748,0,400_DWT
160,82947,0,400_DWT
161,83255,2,400_DWT
162,83587,1,400_DWT
163,83908,2,400_DWT
164,84910,1,400_DWT
165,85231,2,400_DWT
166,85695,1,400_DWT
167,85938,2,400_DWT
168,86171,0,400_DWT
169,86491,3,400_DWT
170,86518,2,400_DWT
171,86541,1,400_DWT
172,86769,1,400_DWT
173,87128,3,400_DWT
174,87418,1,400_DWT
175,87669,0,400_DWT
176,88548,0,400_DWT
177,89320,0,400_DWT
178,89648,2,400_DWT
179,91029,0,400_DWT
180,91107,1,400_DWT
181,91469,2,400_DWT
182,92847,0,400_DWT
183,93414,1,400_DWT
184,93487,2,400_DWT
185,93798,1,400_DWT
186,93822,1,400_DWT
187,95557,0,400_DWT
188,95769,1,400_DWT
189,96034,3,400_DWT
190,96588,0,400_DWT
191,97055,0,400_DWT
192,97082,2,400_DWT
193,97419,1,400_DWT
194,97876,1,400_DWT
195,97892,2,400_DWT
196,98269,2,400_DWT
197,98842,0,400_DWT
198,99266,2,400_DWT
199,99310,0,400_DWT
